기준_년_분기_코드,상권_코드,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2019_2,1001496,18430,10279,8151,53,4526,6985,4669,1834,363,24,1546,3849,3204,1388,268,29,2980,3136,1465,446,95
2019_2,1001495,26843,16958,9885,115,7377,8144,5710,3611,1886,45,4003,5341,4080,2222,1267,70,3374,2803,1630,1389,619
2019_2,1001494,24700,16394,8306,32,3438,7358,6727,5432,1713,7,1671,4435,4703,4333,1245,25,1767,2923,2024,1099,468
2019_2,1001493,6683,3404,3279,21,1392,2011,1467,1160,632,5,522,910,889,695,383,16,870,1101,578,465,249
2019_2,1001492,133878,65609,68269,318,27739,43557,35187,22443,4634,108,8851,19114,19026,15513,2997,210,18888,24443,16161,6930,1637
2019_2,1001491,5797,3200,2597,26,1315,2074,1350,566,466,15,593,1089,845,374,284,11,722,985,505,192,182
2019_2,1001490,431,268,163,0,43,57,89,112,130,0,18,41,56,77,76,0,25,16,33,35,54
2019_2,1001489,188,104,84,0,31,43,37,44,33,0,14,28,19,18,25,0,17,15,18,26,8
2019_2,1001488,35,20,15,0,3,7,13,7,5,0,1,3,6,7,3,0,2,4,7,0,2
2019_2,1001487,32,20,12,0,3,3,9,8,9,0,1,2,4,5,8,0,2,1,5,3,1
2019_2,1001486,10,5,5,0,0,1,1,5,3,0,0,0,0,3,2,0,0,1,1,2,1
2019_2,1001485,7,2,5,0,1,2,3,1,0,0,0,0,2,0,0,0,1,2,1,1,0
2019_2,1001484,91,61,30,0,14,17,19,27,14,0,10,12,11,17,11,0,4,5,8,10,3
2019_2,1001483,80,50,30,0,3,16,29,18,14,0,1,13,15,11,10,0,2,3,14,7,4
2019_2,1001482,1029,945,84,0,5,36,170,413,405,0,4,29,150,376,386,0,1,7,20,37,19
2019_2,1001481,87,37,50,0,7,13,13,24,30,0,3,9,8,9,8,0,4,4,5,15,22
2019_2,1001480,178,105,73,0,31,32,54,37,24,0,21,12,32,24,16,0,10,20,22,13,8
2019_2,1001479,414,148,266,0,71,111,114,69,49,0,16,31,44,27,30,0,55,80,70,42,19
2019_2,1001478,3029,1247,1782,1,415,423,511,999,680,0,144,236,271,324,272,1,271,187,240,675,408
2019_2,1001477,111,76,35,0,16,26,24,28,17,0,9,19,14,18,16,0,7,7,10,10,1
2019_2,1001476,63,27,36,0,6,7,15,26,9,0,3,4,3,10,7,0,3,3,12,16,2
2019_2,1001475,81,50,31,0,7,18,19,20,17,0,1,7,13,15,14,0,6,11,6,5,3
2019_2,1001474,58,27,31,0,1,6,16,18,17,0,0,5,5,8,9,0,1,1,11,10,8
2019_2,1001473,60,37,23,0,7,11,16,13,13,0,4,5,9,8,11,0,3,6,7,5,2
2019_2,1001472,83,41,42,0,15,15,16,18,19,0,2,8,8,12,11,0,13,7,8,6,8
2019_2,1001471,255,106,149,0,23,74,61,60,37,0,12,30,15,25,24,0,11,44,46,35,13
2019_2,1001470,60,39,21,0,14,14,13,10,9,0,8,10,10,5,6,0,6,4,3,5,3
2019_2,1001469,36,23,13,0,6,9,9,7,5,0,4,7,6,3,3,0,2,2,3,4,2
2019_2,1001468,69,50,19,0,2,4,19,30,14,0,1,3,10,22,14,0,1,1,9,8,0
2019_2,1001467,55,33,22,0,2,7,20,22,4,0,2,6,14,10,1,0,0,1,6,12,3
2019_2,1001466,92,27,65,0,2,17,32,32,9,0,1,8,6,8,4,0,1,9,26,24,5
2019_2,1001465,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2019_2,1001464,16,7,9,0,0,2,2,7,5,0,0,2,1,2,2,0,0,0,1,5,3
2019_2,1001463,42,24,18,0,1,2,12,16,11,0,0,2,6,9,7,0,1,0,6,7,4
2019_2,1001462,197,118,79,0,23,48,48,43,35,0,16,37,21,21,23,0,7,11,27,22,12
2019_2,1001461,6,5,1,0,0,0,0,1,5,0,0,0,0,0,5,0,0,0,0,1,0
2019_2,1001460,148,89,59,0,22,33,35,31,27,0,10,17,23,19,20,0,12,16,12,12,7
2019_2,1001459,38,15,23,0,3,2,10,14,9,0,0,1,3,6,5,0,3,1,7,8,4
2019_2,1001458,131,47,84,0,19,25,42,26,19,0,3,7,14,14,9,0,16,18,28,12,10
2019_2,1001457,178,53,125,0,18,12,33,51,64,0,5,5,17,16,10,0,13,7,16,35,54
2019_2,1001456,5,2,3,0,0,0,1,1,3,0,0,0,1,1,0,0,0,0,0,0,3
2019_2,1001455,49,24,25,1,1,6,7,17,17,0,0,2,4,4,14,1,1,4,3,13,3
2019_2,1001454,6,1,5,0,4,0,2,0,0,0,0,0,1,0,0,0,4,0,1,0,0
2019_2,1001453,24,14,10,0,3,2,10,6,3,0,2,2,4,5,1,0,1,0,6,1,2
2019_2,1001452,85,33,52,1,5,10,20,34,15,0,0,2,10,15,6,1,5,8,10,19,9
2019_2,1001451,73,37,36,0,12,10,19,16,16,0,3,2,12,10,10,0,9,8,7,6,6
2019_2,1001450,490,271,219,0,27,21,38,46,358,0,5,8,17,17,224,0,22,13,21,29,134
2019_2,1001449,124,56,68,0,21,24,41,17,21,0,3,13,18,7,15,0,18,11,23,10,6
2019_2,1001448,87,35,52,0,14,8,21,24,20,0,1,2,10,8,14,0,13,6,11,16,6
2019_2,1001447,100,37,63,0,4,14,32,35,15,0,2,5,15,8,7,0,2,9,17,27,8
2019_2,1001446,147,60,87,0,13,30,38,44,22,0,3,12,16,16,13,0,10,18,22,28,9
2019_2,1001445,72,6,66,0,11,17,19,19,6,0,3,0,0,1,2,0,8,17,19,18,4
2019_2,1001444,235,115,120,0,23,64,48,61,39,0,11,30,20,31,23,0,12,34,28,30,16
2019_2,1001443,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2019_2,1001442,5,1,4,0,0,3,1,1,0,0,0,0,0,1,0,0,0,3,1,0,0
2019_2,1001441,67,45,22,0,11,8,12,19,17,0,7,6,9,10,13,0,4,2,3,9,4
2019_2,1001440,181,104,77,0,9,41,67,40,24,0,2,28,45,23,6,0,7,13,22,17,18
2019_2,1001439,41,29,12,3,12,9,10,2,5,2,9,6,7,1,4,1,3,3,3,1,1
2019_2,1001438,11,10,1,0,2,2,2,3,2,0,1,2,2,3,2,0,1,0,0,0,0
2019_2,1001437,27,16,11,0,1,4,8,9,5,0,1,4,4,4,3,0,0,0,4,5,2
2019_2,1001436,83,44,39,0,3,16,25,33,6,0,1,8,14,15,6,0,2,8,11,18,0
2019_2,1001435,39,23,16,0,1,4,20,10,4,0,0,4,11,5,3,0,1,0,9,5,1
2019_2,1001433,174,128,46,1,15,49,46,42,21,0,7,36,35,31,19,1,8,13,11,11,2
2019_2,1001432,7,5,2,0,0,1,4,1,1,0,0,1,3,1,0,0,0,0,1,0,1
2019_2,1001431,30,21,9,0,2,7,10,9,2,0,2,5,8,5,1,0,0,2,2,4,1
2019_2,1001430,1918,1031,887,24,305,545,534,320,190,3,108,253,306,222,139,21,197,292,228,98,51
2019_2,1001429,62,35,27,0,9,10,15,14,14,0,7,6,10,7,5,0,2,4,5,7,9
2019_2,1001428,33,24,9,0,1,3,11,6,12,0,0,2,7,6,9,0,1,1,4,0,3
2019_2,1001427,121,55,66,0,13,18,30,41,19,0,6,7,9,21,12,0,7,11,21,20,7
2019_2,1001426,38,17,21,0,6,9,6,8,9,0,2,4,3,2,6,0,4,5,3,6,3
2019_2,1001425,4,2,2,0,1,1,0,2,0,0,0,1,0,1,0,0,1,0,0,1,0
2019_2,1001424,82,56,26,0,3,11,21,22,25,0,1,4,13,14,24,0,2,7,8,8,1
2019_2,1001423,605,473,132,3,29,76,118,195,184,1,18,54,92,145,163,2,11,22,26,50,21
2019_2,1001422,77,23,54,0,3,10,25,27,12,0,0,0,6,7,10,0,3,10,19,20,2
2019_2,1001421,15,10,5,0,0,1,3,6,5,0,0,1,3,3,3,0,0,0,0,3,2
2019_2,1001420,60,13,47,0,7,10,15,21,7,0,0,0,2,5,6,0,7,10,13,16,1
2019_2,1001419,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019_2,1001418,73,24,49,1,5,13,27,18,9,0,0,3,6,9,6,1,5,10,21,9,3
2019_2,1001417,15,9,6,0,1,3,7,3,1,0,1,1,5,1,1,0,0,2,2,2,0
2019_2,1001416,5,4,1,0,0,1,2,2,0,0,0,1,1,2,0,0,0,0,1,0,0
2019_2,1001415,94,61,33,0,8,15,27,24,20,0,5,11,15,15,15,0,3,4,12,9,5
2019_2,1001414,127,44,83,2,20,20,34,32,19,0,0,10,10,11,13,2,20,10,24,21,6
2019_2,1001413,121,37,84,0,16,18,38,36,13,0,4,5,10,11,7,0,12,13,28,25,6
2019_2,1001412,50,21,29,0,4,6,10,20,10,0,2,4,5,8,2,0,2,2,5,12,8
2019_2,1001411,124,41,83,0,15,20,34,39,16,0,2,4,7,15,13,0,13,16,27,24,3
2019_2,1001410,7,6,1,0,0,0,0,3,4,0,0,0,0,2,4,0,0,0,0,1,0
2019_2,1001409,138,68,70,0,24,25,30,32,27,0,12,10,19,13,14,0,12,15,11,19,13
2019_2,1001408,118,53,65,0,27,42,25,12,12,0,9,15,10,10,9,0,18,27,15,2,3
2019_2,1001407,3,3,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0
2019_2,1001406,111,72,39,1,7,21,40,22,20,0,3,12,22,18,17,1,4,9,18,4,3
2019_2,1001405,45,10,35,0,3,10,14,16,2,0,0,2,5,1,2,0,3,8,9,15,0
2019_2,1001404,27,8,19,0,7,5,7,6,2,0,1,1,3,2,1,0,6,4,4,4,1
2019_2,1001403,43,22,21,0,1,6,14,10,12,0,0,1,5,7,9,0,1,5,9,3,3
2019_2,1001402,184,116,68,1,26,42,40,40,35,0,13,26,32,22,23,1,13,16,8,18,12
2019_2,1001400,10,6,4,0,1,2,3,4,0,0,0,1,3,2,0,0,1,1,0,2,0
2019_2,1001399,56,18,38,0,0,6,17,15,18,0,0,1,2,7,8,0,0,5,15,8,10
2019_2,1001398,71,49,22,0,5,16,18,25,7,0,1,9,13,21,5,0,4,7,5,4,2
2019_2,1001397,54,25,29,0,4,10,21,14,5,0,2,5,11,5,2,0,2,5,10,9,3
2019_2,1001396,84,48,36,0,13,14,21,23,13,0,7,9,8,13,11,0,6,5,13,10,2
2019_2,1001395,181,82,99,0,15,27,51,53,35,0,3,6,19,29,25,0,12,21,32,24,10
2019_2,1001394,426,233,193,0,44,134,118,78,52,0,20,71,67,39,36,0,24,63,51,39,16
2019_2,1001393,329,231,98,0,21,41,74,110,83,0,16,32,47,80,56,0,5,9,27,30,27
2019_2,1001392,10,5,5,0,1,1,2,4,2,0,1,0,0,2,2,0,0,1,2,2,0
2019_2,1001391,232,141,91,1,32,75,67,29,28,1,15,49,41,16,19,0,17,26,26,13,9
2019_2,1001390,186,86,100,0,26,35,52,44,29,0,12,21,26,13,14,0,14,14,26,31,15
2019_2,1001389,24,10,14,0,0,2,11,7,4,0,0,1,4,3,2,0,0,1,7,4,2
2019_2,1001388,23,12,11,0,0,3,12,6,2,0,0,1,7,2,2,0,0,2,5,4,0
2019_2,1001387,48,31,17,0,2,1,6,8,31,0,0,1,3,5,22,0,2,0,3,3,9
2019_2,1001386,28,16,12,0,5,5,9,3,6,0,1,4,6,2,3,0,4,1,3,1,3
2019_2,1001385,839,461,378,5,283,352,130,43,26,1,120,207,80,36,17,4,163,145,50,7,9
2019_2,1001384,8,3,5,0,0,1,3,1,3,0,0,1,1,0,1,0,0,0,2,1,2
2019_2,1001383,3883,1806,2077,18,1170,1392,926,268,109,9,373,588,574,172,90,9,797,804,352,96,19
2019_2,1001382,57,47,10,0,4,29,14,8,2,0,2,24,13,6,2,0,2,5,1,2,0
2019_2,1001381,14,9,5,0,0,0,4,4,6,0,0,0,2,2,5,0,0,0,2,2,1
2019_2,1001380,71,53,18,0,9,9,14,17,22,0,5,7,9,13,19,0,4,2,5,4,3
2019_2,1001379,51,7,44,0,1,4,6,9,31,0,0,1,0,3,3,0,1,3,6,6,28
2019_2,1001378,51,28,23,0,5,8,9,17,12,0,0,4,5,10,9,0,5,4,4,7,3
2019_2,1001377,58,25,33,0,18,9,14,14,3,0,3,5,6,8,3,0,15,4,8,6,0
2019_2,1001376,9,4,5,0,0,2,1,3,3,0,0,0,0,2,2,0,0,2,1,1,1
2019_2,1001375,65,12,53,0,0,4,23,32,6,0,0,3,3,4,2,0,0,1,20,28,4
2019_2,1001374,234,46,188,0,25,55,62,64,28,0,4,12,8,12,10,0,21,43,54,52,18
2019_2,1001373,18,12,6,0,0,0,3,5,10,0,0,0,0,2,10,0,0,0,3,3,0
2019_2,1001372,30,14,16,0,4,10,8,4,4,0,1,6,3,1,3,0,3,4,5,3,1
2019_2,1001371,11,4,7,0,1,4,4,2,0,0,0,1,2,1,0,0,1,3,2,1,0
2019_2,1001370,2,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
2019_2,1001369,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2019_2,1001368,200,139,61,0,11,32,40,57,60,0,2,13,26,47,51,0,9,19,14,10,9
2019_2,1001367,132,67,65,1,26,25,33,28,19,1,14,17,13,14,8,0,12,8,20,14,11
2019_2,1001366,9,3,6,0,1,1,1,3,3,0,0,1,0,2,0,0,1,0,1,1,3
2019_2,1001365,209,165,44,0,7,17,33,75,77,0,3,7,19,65,71,0,4,10,14,10,6
2019_2,1001364,46,16,30,0,2,6,14,14,10,0,0,1,5,8,2,0,2,5,9,6,8
2019_2,1001363,58,14,44,0,1,2,2,21,32,0,0,2,0,1,11,0,1,0,2,20,21
2019_2,1001362,30,13,17,0,0,3,11,8,8,0,0,0,4,2,7,0,0,3,7,6,1
2019_2,1001361,9,6,3,0,0,0,3,2,4,0,0,0,3,2,1,0,0,0,0,0,3
2019_2,1001360,106,52,54,0,19,42,22,17,6,0,7,22,13,8,2,0,12,20,9,9,4
2019_2,1001359,82,33,49,0,4,19,21,24,14,0,1,8,12,5,7,0,3,11,9,19,7
2019_2,1001358,19,13,6,0,1,1,6,6,5,0,0,0,5,4,4,0,1,1,1,2,1
2019_2,1001357,958,615,343,0,13,14,46,90,795,0,2,4,18,43,548,0,11,10,28,47,247
2019_2,1001356,9,5,4,0,0,1,0,1,7,0,0,1,0,0,4,0,0,0,0,1,3
2019_2,1001355,45,24,21,0,4,6,12,16,7,0,3,4,4,8,5,0,1,2,8,8,2
